,Course Code,Course,EOS_2018
491,TR911,Children's and General Nursing (Integrated),476
492,TR913,Midwifery,423
493,DN100,Architecture,473
494,DN120,Landscape Architecture,353
495,DN130,City Planning and Environmental Policy,367
496,DN150,Engineering (Common Entry),511
497,DN200,Science (options),521
498,DN201,Computer Science (Common Entry),488
499,DN230,Actuarial and Financial Studies,577
500,DN250,Agricultural Science (options),420
501,DN252,Dairy Business,398
502,DN253,Agri - Environmental Sciences,403
503,DN261,Food Science,434
504,DN262,Human Nutrition,493
505,DN271,Forestry,303
506,DN272,Horticulture, Landscape and Sportsturf Management
507,DN300,Veterinary Medicine - Undergraduate Entry,567
508,DN301,Veterinary Medicine - Graduate Entry,
509,DN310,Veterinary Nursing,441
510,DN400,Medicine - Undergraduate Entry (HPAT required),735
511,DN401,Medicine - Graduate Entry (GAMSAT required),59
512,DN410,Radiography,507
513,DN411,Radiography - Graduate Entry,
514,DN420,Physiotherapy,542
515,DN425,Health and Performance Science,488
516,DN430,Sport and Exercise Management,436
517,DN440,Biomedical, Health and Life Sciences
518,DN450,General Nursing,398
519,DN451,Children's and General Nursing (Integrated),462
520,DN452,Midwifery,409
521,DN453,Mental Health Nursing,379
522,DN520,Arts (Two Subjects),336
523,DN530,Humanities (options),348
524,DN541,Modern Languages (options),348
525,DN600,Law (options),520
526,DN610,Business and Law,521
527,DN650,Commerce,498
528,DN660,Commerce International (options),507
529,DN670,Economics and Finance,601
530,DN700,Social Sciences (options),388
531,DN710,Economics,476
532,DN720,Psychology,517
533,DN750,Social Policy and Sociology,330
534,DK810,Accounting and Finance,306
535,DK816,Business Studies,300
536,DK820,Computing in Games Development,307
537,DK821,Computing in Software Development,301
538,DK830,Building Surveying,302
539,DK831,Architectural Technology,301
540,DK832,Construction Management,300
541,DK843,Engineering (Common Entry),303
542,DK860,Music,499
543,DK861,Arts,300
544,DK862,Social Care,300
545,DK863,Creative Media,300
546,DK864,Film and Television Production,300
547,DK865,Audio and Music Production,301
548,DK870,General Nursing,392
549,DK872,Intellectual Disability Nursing,300
550,DK874,Mental Health Nursing,356
551,DK876,Early Childhood Studies,305
552,DK877,Midwifery,398
553,DK880,Health and Physical Activity,300
554,DK882,Agriculture (Award options),303
555,DK883,Science (Award options),300
556,GA181,Accounting,303
557,GA182,Business,290
558,GA183,Business Information Systems,309
559,GA184,Marketing and Sales,307
560,GA185,Finance and Economics,307
561,GA186,Business with Entrepreneurship,297
562,GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280
563,GA281,Film and Documentary,287
564,GA282,Heritage Studies,238
565,GA283,Contemporary Art,260
566,GA284,Design,309
567,GA380,International Hotel Management,225
568,GA381,International Tourism Management,261
569,GA382,Culinary and Gastronomic Science,225
570,GA384,Event Management with Public Relations,209
571,GA385,Retail Management,219
572,GA480,Construction Management,260
573,GA482,Quantity Surveying and Construction Economics,280
574,GA483,Architectural Technology,251
575,GA484,Civil Engineering,270
576,GA580,Software and Electronic Engineering,301
577,GA680,Mechanical Engineering,336
578,GA681,Energy Engineering,281
579,GA682,Biomedical Engineering,331
580,GA683,Agricultural Engineering,301
581,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346
582,GA780,Applied Freshwater and Marine Biology,300
583,GA781,Applied Biology and Biopharmaceutical Science,317
584,GA782,Chemical and Pharmaceutical Science,307
585,GA783,Physics and Instrumentation,373
586,GA784,Science (Undenominated),327
587,GA785,Medical Science,451
588,GA786,Forensic Science and Analysis,300
589,GA787,Computing in Software Development,275
590,GA788,Computing and Digital Media,270
591,GA789,Agriculture and Environmental Management (Mountbellew Campus),297
592,GA790,Sport and Exercise Science,350
593,GA791,Public Health Nutrition,364
594,GA880,General Nursing - Mayo Campus,389
595,GA882,Psychiatric Nursing - Mayo Campus,346
596,GA885,Outdoor Education - Mayo Campus,210
597,GA887,History and Geography - Mayo Campus,228
598,GA889,Applied Social Care - Mayo Campus,260
599,GA890,Early Childhood Care and Education - Mayo Campus,278
600,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376
601,GA981,Furniture Design and Manufacture - Letterfrack Campus,271
602,GA982,Furniture and Wood Technology - Letterfrack Campus,270
603,GY101,Arts (Joint-Honours),300
604,GY104,Arts (Psychology),507
605,GY105,Arts (History),318
606,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330
607,GY109,Arts (Mathematics and Education),411
608,GY110,Arts with Children's Studies,382
609,GY111,Arts with Creative Writing,402
610,GY112,Arts with Film Studies,338
611,GY113,Arts with Human Rights,338
612,GY115,Arts with Performing Arts Studies,328
613,GY118,Arts (Drama, Theatre and Performance Studies)
614,GY119,Journalism,410
615,GY120,Arts (Child, Youth and Family: Policy and Practice)
616,GY121,Arts (Children's Studies),356
617,GY122,Na Dána (Cumarsáid agus Gaeilge) ,308
618,GY123,BSc (Applied Social Sciences),357
619,GY124,Arts (Arts with Data Science),434
620,GY125,Arts (Digital Arts and Technology),324
621,GY126,Arts (English and Media Studies),418
622,GY127,Arts (Film and Digital Media),387
623,GY128,Arts (Global Languages),370
624,GY129,Arts (International),408
625,GY130,Arts (Music),400
626,GY131,Arts (History and Globalisation Studies),340
627,GY132,Government (Politics, Economics and Law)
628,GY133,Education (Computer Science and Mathematical  Studies),401
629,GY201,Commerce,420
630,GY202,Commerce (International) with French,484
631,GY203,Commerce (International) with German,489
632,GY204,Commerce (International) with Spanish,484
633,GY206,Business Information Systems (Work Placement & Optional Int'l Study),431
634,GY207,Commerce (Accounting) including optional Global Experience year,486
635,GY208,Commerce (Gaeilge),473
636,GY209,Commerce (Global Experience),509
637,GY250,Law & Business,436
638,GY251,Law,473
639,GY252,Law & Human Rights,510
640,GY261,Business Studies (International Hotel Management, Shannon)
641,GY262,Commerce (International Hotel Management, Shannon)
642,GY301,Science,400
643,GY303,Biomedical Science,533
644,GY304,Biotechnology,473
645,GY308,Environmental Science,413
646,GY309,Financial Mathematics and Economics,454
647,GY310,Marine Science,409
648,GY313,Environmental Health and Safety,402
649,GY314,Earth and Ocean Sciences,402
650,GY318,Biopharmaceutical Chemistry,510
651,GY319,Mathematical Science,456
652,GY320,Physics (Degree options: Applied,Astrophysics
653,GY350,Computer Science and Information Technology,425
654,GY401,Engineering (Undenominated),444
655,GY402,Civil Engineering,509
656,GY405,Mechanical Engineering,443
657,GY406,Electronic and Computer Engineering,509
658,GY408,Biomedical Engineering,519
659,GY410,Project and Construction Management,434
660,GY413,Energy Systems Engineering,532
661,GY414,Electrical and Electronic Engineering,454
662,GY501,Medicine (five year/six year course, HPAT required)
663,GY502,Occupational Therapy,532
664,GY503,Speech and Language Therapy,529
665,GY504,Podiatric Medicine,434
